Designator,Mid X,Mid Y,Layer,Rotation
C1,22.93,25.17,Top,180.0
C2,25.39,29.83,Top,270.0
C3,30.02,34.29,Top,0.0
C4,35.71,29.37,Top,90.0
C5,49.23,25.27,Top,0.0
C6,45.93,20.45,Top,180.0
C7,43.26,29.21,Top,180.0
C9,21.59,29.48,Top,90.0
C10,15.89,19.68,Top,180.0
C25,43.22,67.58,Top,180.0
C26,20.36,67.58,Top,180.0
C28,42.95,57.42,Top,180.0
C29,20.36,57.42,Top,180.0
C40,41.95,77.74,Top,180.0
C41,20.36,77.74,Top,180.0
DRV8300D1,33.83,25.40,Top,90.0
LED1,54.61,10.16,Top,270.0
LED2,54.61, 7.62,Top,270.0
LED3,54.61, 5.08,Top,270.0
Q1,16.55,72.66,Top,180.0
Q2,39.41,72.66,Top,180.0
Q3,16.55,62.50,Top,180.0
Q4,39.41,62.50,Top,180.0
Q5,16.55,52.34,Top,180.0
Q6,39.41,52.34,Top,180.0
R1,52.15,27.94,Top,180.0
R2,50.37,22.99,Top,0.0
R3,47.45,27.43,Top,0.0
R4,50.80,10.16,Top,180.0
R5,50.80, 7.62,Top,180.0
R6,50.80, 5.08,Top,180.0
R7,19.59,21.59,Top,0.0
R8,23.40,10.16,Top,90.0
R9,23.40,21.59,Top,0.0
R10,27.21,10.16,Top,90.0
R11,27.21,21.59,Top,0.0
R12,31.02,10.16,Top,90.0
R13,31.08,21.61,Top,180.0
R14,34.83,10.16,Top,90.0
R15,34.83,21.59,Top,180.0
R16,19.59,10.16,Top,90.0
R17,38.64,10.16,Top,90.0
R18,38.64,21.59,Top,180.0
R21,39.41,67.58,Top,180.0
R22,16.55,67.58,Top,180.0
R23,25.94,38.10,Top,270.0
R24,39.18,38.10,Top,270.0
R25,39.14,57.42,Top,180.0
R26,16.55,57.42,Top,180.0
R32,28.48,38.10,Top,270.0
R33,36.64,38.10,Top,270.0
R34,38.14,77.74,Top,180.0
R35,16.55,77.74,Top,180.0
R36,23.40,38.10,Top,270.0
R41,34.10,38.10,Top,270.0
U$1,52.15,41.91,Top,180.0
U1,23.40,16.51,Top,90.0
U2,27.21,16.51,Top,90.0
U3,31.02,16.51,Top,90.0
U4,34.83,16.51,Top,90.0
U5,38.64,16.51,Top,90.0
U6,19.59,16.51,Top,90.0
U7,17.78,26.94,Top,180.0
